Q105254117,Ortschaft (Baden-Württemberg),76
Q1195942,Feuerwehrhaus,76
Q1043639,Schwulenbar,76
Q604177,Stadt- oder Gemeindearchiv,76
Q153562,Opernhaus,75
Q98141595,Werkstattgebäude,75
Q216107,Kaufhaus,74
Q62602544,Gaststätte,74
Q1207909,Viehstall,74
Q16887380,Gruppe,73
Q111010342,Hoftor,73
Q106491339,Siedlung des Neolithikums,72
Q121140906,Baumdenkmal,70
Q15893266,ehemalige Entität,70
Q15976349,Kirchenorgel,70
Q11734477,Gedenkstein,69
Q1254933,Sternwarte,69
Q19844914,Universitätsgebäude,69
Q2309609,Flurkreuz,68
Q811165,Baudenkmal,68
Q515,Stadt,68
Q2513995,Verbandsgemeinde in Rheinland-Pfalz,67
Q16560,Palast,66
Q322563,Berufsschule,66
Q902104,Privatuniversität,66
Q902814,Grenzstadt,66
Q1965390,Narrenzunft,66
Q167346,botanischer Garten,65
Q23442,Insel,64
Q676050,Altstadt,64
Q1320047,Buchverlag,64
Q2354973,Straßentunnel,64
Q1640496,Sühnekreuz,64
Q863915,Binnenhafen,64
Q1601458,Heizkraftwerk,63
Q594128,Justizvollzugsanstalt,63
Q856234,Universitätsbibliothek,63
Q1203964,Deutsche Schwimmmeisterschaften,63
Q3250652,Arbeitsgericht,63
Q30022,Café,63
Q1110689,Förderschule,63
Q2519340,Verwaltungsgebäude,62
Q1055465,Balkenbrücke,62
Q105681016,Wohnanlage,62
Q2267870,Selbständige Gemeinde,62
Q654772,Herberge,61
Q56345406,Grundschule,61
Q14092,Turnhalle,61
Q561431,Bundesstraße,60
Q64606659,LGBT-Organisation,59
Q947103,Wachturm,59
Q14515311,Corps,58
Q325017,Grubenwerk,58
Q12292478,Gutshof,58
Q357380,Hallenbad,57
Q6019423,Max-Planck-Institut,56
Q98141352,Hofmauer,55
Q1132300,Metropolregion in Deutschland,55
Q50331459,S-Bahn-Linie,54
Q1787825,Kreisstraße,54
Q820254,Bergbaustadt,54
Q1002697,Periodikum,54
Q1820625,lesbische und schwule Chöre,54
Q928830,U-Bahnhof,52
Q12341378,Kneipe,52
Q13384978,Landgericht,52
Q88985865,eating or drinking establishment,51
Q631305,Felsformation,51
Q20168706,Fraunhofer-Institut,51
Q102202066,Terra-Sigillata-Fundstätte,51
Q8719053,Veranstaltungsort für Musikdarbietungen,51
Q15141321,Zugverbindung,50
Q1137809,Gerichtsgebäude,50
Q1317260,Verwaltungsgemeinschaft in Thüringen,50
Q95723,S-Bahn,50
Q20723111,Deutsche Fechtmeisterschaften,50
Q667471,Realschule,50
Q15911314,Verein,50
Q1595408,Heilklimatischer Kurort,50
Q41298,Zeitschrift,50
Q18543139,Hauptbahnhof,50
Q2141230,Brandgrab,50
Q11732217,Flecken,50
Q854429,Portal,50
Q40365391,historische Straße,49
Q2288051,Parteitag,49
Q106491277,Siedlung der Bronzezeit,49
Q20354035,Naturpark in Deutschland,49
Q4671277,akademische Einrichtung,48
Q6558431,Kohlekraftwerk,48
Q1339195,Empfangsgebäude,48
Q2668072,Sammlung,48
Q131596,Bauernhof,48
Q181623,Lagerhaus,48
Q12350930,Kneippkurort,48
Q2264955,Seeheilbad,47
Q14350,Hörfunksender,47
Q56061,administrativ-territoriale Entität,47
Q1802122,Landesbehörde,47
Q337567,Stillgewässer,46
Q121433090,Weiler mit Kirche,46
Q65464941,ehemaliger Haltepunkt,46
Q1595171,Heiligenfigur,46
